"GA","0","D-KIEO","SF 25 C Falke","Gastflug","Eigenstart","N - Privatflug (nichtgewerblich)","19.00"
"GA","0","D-KOMH","HK36TTS Dimona","Gastflug","Eigenstart","N - Privatflug (nichtgewerblich)","19.00"
"GA","0","D-KPIA","DG1001T","Gastflug Windenstart","Windenstart","P - Passagierflug","19.00"
"GA","0","D-MDYB","Dynamic WT9","Gastflug","Eigenstart","N - Privatflug (nichtgewerblich)","19.00"
"GA","0","D-MLUM","Dynamic WT9","Gastflug","Eigenstart","N - Privatflug (nichtgewerblich)","19.00"
"GF","0","D-0235","ASK 13","Gastflug F-Schlepp","F-Schlepp","P - Passagierflug","19.00"
"GF","0","D-KPIA","DG1001T","Gastflug F-Schlepp","F-Schlepp","P - Passagierflug","19.00"
"MC","0","D-KIEJ","SF 25 C Falke","Mitglied-Charter","Eigenstart","N - Privatflug (nichtgewerblich)","7.00"
"MC","0","D-KIEO","SF 25 C Falke","Mitglied-Charter","Eigenstart","N - Privatflug (nichtgewerblich)","7.00"
"MC","0","D-KOMH","HK36TTS Dimona","Mitglied-Charter","Eigenstart","N - Privatflug (nichtgewerblich)","7.00"
"MC","0","D-MAXT","Sunwheel","Mitglied-Charter","Eigenstart","N - Privatflug (nichtgewerblich)","7.00"
"MC","0","D-MDYB","Dynamic WT9","Mitglied-Charter","Eigenstart","N - Privatflug (nichtgewerblich)","7.00"
"MC","0","D-MLUM","Dynamic WT9","Mitglied-Charter","Eigenstart","N - Privatflug (nichtgewerblich)","7.00"
"NF","0","D-KPIA","DG1001T","Fluggebühr F-Schlepp","F-Schlepp","N - Privatflug (nichtgewerblich)","7.00"
"NW","0","D-KPIA","DG1001T","Fluggebühr","Windenstart","N - Privatflug (nichtgewerblich)","7.00"
"SF","0","D-KIEJ","SF 25 C Falke","Schulflug","Eigenstart","S - Schulflug","0.00"
"SF","0","D-KIEO","SF 25 C Falke","Schulflug","Eigenstart","S - Schulflug","0.00"
"SF","0","D-KOMH","HK36TTS Dimona","Schulflug","Eigenstart","S - Schulflug","0.00"
"SF","0","D-KPIA","DG1001T","Schulflug F-Schlepp","F-Schlepp","S - Schulflug","0.00"
"SF","0","D-MDYB","Dynamic WT9","Schulflug","Eigenstart","S - Schulflug","0.00"
"SF","0","D-MLUM","Dynamic WT9","Schulflug","Eigenstart","S - Schulflug","0.00"
"SW","0","D-KPIA","DG1001T","Fluggebühr","Windenstart","S - Schulflug","0.00"
"WC","0","D-0235","ASK 13","ASK 13 Windenstart Charter","Windenstart","N - Privatflug (nichtgewerblich)","7.00"
"WC","0","D-1158","LS-8","LS-8 Windenstart Charter","Windenstart","N - Privatflug (nichtgewerblich)","7.00"
"WC","0","D-3952","DG 303","DG 303 Windenstart Charter","Windenstart","N - Privatflug (nichtgewerblich)","7.00"
"WC","0","D-4642","Grunau Baby","Baby Windenstart Charter","Windenstart","N - Privatflug (nichtgewerblich)","7.00"
"WC","0","D-5115","LS-4","LS-4 Windenstart Charter","Windenstart","N - Privatflug (nichtgewerblich)","7.00"
"WC","0","D-8541","K8","K8 Windenstart Charter","Windenstart","N - Privatflug (nichtgewerblich)","7.00"
"WS","0","D-0235","ASK 13","ASK 13 Windenstart Schulung","Windenstart","S - Schulflug","0.00"
"WS","0","D-1158","LS-8","LS-8 Windenstart Schulung","Windenstart","S - Schulflug","0.00"
"WS","0","D-3952","DG 303","DG 303 Windenstart Schulung","Windenstart","S - Schulflug","0.00"
"WS","0","D-5115","LS-4","LS-4 Windenstart Schulung","Windenstart","S - Schulflug","0.00"
"WS","0","D-8541","K8","K8 Windenstart Schulung","Windenstart","S - Schulflug","0.00"
"XX","0","D-KIEJ","SF 25 C Falke","Werkstattflug","Eigenstart","N - Privatflug (nichtgewerblich)","0.00"
"XX","0","D-KIEO","SF 25 C Falke","Werkstattflug","Eigenstart","N - Privatflug (nichtgewerblich)","0.00"
"XX","0","D-KOMH","HK36TTS Dimona","Werkstattflug","Eigenstart","N - Privatflug (nichtgewerblich)","0.00"
"XX","0","D-KPIA","DG1001T","Werkstattflug","Windenstart","N - Privatflug (nichtgewerblich)","0.00"
"XX","0","D-MDYB","Dynamic WT9","Werkstattflug","Eigenstart","N - Privatflug (nichtgewerblich)","0.00"
"XX","0","D-MLUM","Dynamic WT9","Werkstattflug","Eigenstart","N - Privatflug (nichtgewerblich)","0.00"
